Country,MSE Ensemble,RMSE Ensemble,MAE Ensemble,MDAE Ensemble,MSE XGBoost,RMSE XGBoost,MAE XGBoost,MDAE XGBoost,MSE LSTM,RMSE LSTM,MAE LSTM,MDAE LSTM,MSE NN,RMSE NN,MAE NN,MDAE NN
Afghanistan,3055.5,55.28,54.0,59.0,3055.5,55.28,54.0,59.0,81560.25,285.59,281.25,306.5,34215.5,184.97,162.0,152.5
Albania,49.0,7.0,6.0,6.0,17.0,4.12,3.5,4.0,89.5,9.46,8.5,9.0,49.0,7.0,6.0,6.0
Bangladesh,9.75,3.12,2.25,1.0,9.0,3.0,1.5,0.0,190.5,13.8,10.5,5.5,121.75,11.03,6.25,1.0
Cameroon,9.75,3.12,2.75,2.5,6.0,2.45,2.0,2.0,31.5,5.61,5.0,5.5,9.75,3.12,2.75,2.5
Democratic Republic of the Congo,11.25,3.35,3.25,3.5,5.75,2.4,2.25,2.5,10.0,3.16,3.0,3.0,11.25,3.35,3.25,3.5
Egypt,2464.5,49.64,36.0,33.5,149.5,12.23,8.0,3.0,2468.75,49.69,36.25,35.0,27.0,5.2,4.5,4.0
Eritrea,556.5,23.59,18.5,14.0,582.25,24.13,20.25,16.0,1100.5,33.17,23.5,12.5,609.75,24.69,19.25,14.5
Georgia,108.5,10.42,9.5,9.0,41.75,6.46,5.75,5.0,95.5,9.77,9.0,9.0,108.5,10.42,9.5,9.0
India,16.75,4.09,2.75,1.0,12.25,3.5,1.75,0.0,31.0,5.57,5.5,5.0,16.75,4.09,2.75,1.0
Iran,119.5,10.93,8.5,6.0,32.25,5.68,4.75,3.5,237.0,15.39,11.0,7.0,119.5,10.93,8.5,6.0
Iraq,128.25,11.32,8.75,6.5,115.75,10.76,7.25,3.0,128.25,11.32,8.75,6.5,118.25,10.87,8.25,7.0
Pakistan,62.5,7.91,5.5,4.5,15.25,3.91,2.75,2.5,75.0,8.66,8.0,7.0,56.25,7.5,5.25,4.5
Palestine,291.75,17.08,14.25,14.5,129.25,11.37,7.75,3.5,603.5,24.57,18.0,15.0,106.75,10.33,9.25,9.5
Sierra Leone,145.0,12.04,11.0,9.0,21.0,4.58,4.0,4.0,277.5,16.66,15.0,17.0,253.75,15.93,14.75,15.0
Somalia,112.5,10.61,9.0,7.5,20.5,4.53,3.5,2.5,61.25,7.83,6.25,4.5,130.5,11.42,10.5,9.0
Syria,1596.75,39.96,36.25,35.5,1411.5,37.57,28.0,27.5,6755.25,82.19,63.25,43.0,6132.0,78.31,71.0,72.0
Türkiye,761.25,27.59,25.75,22.5,106.75,10.33,9.25,9.0,866.25,29.43,28.25,25.5,1033.0,32.14,28.0,21.0
Yemen,269.25,16.41,10.75,5.0,167.0,12.92,9.0,4.0,264.25,16.26,10.25,4.0,43.5,6.6,5.5,5.0
