Country,Sex,Age Group,MSE Ensemble,RMSE Ensemble,MAE Ensemble,MDAE Ensemble,MAPE Ensemble,MSE XGBoost,RMSE XGBoost,MAE XGBoost,MDAE XGBoost,MAPE XGBoost,MSE LSTM,RMSE LSTM,MAE LSTM,MDAE LSTM,MAPE LSTM,MSE NN,RMSE NN,MAE NN,MDAE NN,MAPE NN
Afghanistan,female,adult,1156.0,34.0,34.0,34.0,0.0,1156.0,34.0,34.0,34.0,0.0,38416.0,196.0,196.0,196.0,1.0,2704.0,52.0,52.0,52.0,0.0
Afghanistan,female,minor,4096.0,64.0,64.0,64.0,0.0,4096.0,64.0,64.0,64.0,0.0,99856.0,316.0,316.0,316.0,1.0,36481.0,191.0,191.0,191.0,0.0
Afghanistan,male,adult,3721.0,61.0,61.0,61.0,0.0,3721.0,61.0,61.0,61.0,0.0,97969.0,313.0,313.0,313.0,1.0,12996.0,114.0,114.0,114.0,0.0
Afghanistan,male,minor,3249.0,57.0,57.0,57.0,0.0,3249.0,57.0,57.0,57.0,0.0,90000.0,300.0,300.0,300.0,0.0,84681.0,291.0,291.0,291.0,0.0
Albania,female,adult,121.0,11.0,11.0,11.0,1.0,16.0,4.0,4.0,4.0,0.0,169.0,13.0,13.0,13.0,1.0,121.0,11.0,11.0,11.0,1.0
Albania,female,minor,1.0,1.0,1.0,1.0,0.0,16.0,4.0,4.0,4.0,0.0,9.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0
Albania,male,adult,49.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,12.0,12.0,12.0,1.0,49.0,7.0,7.0,7.0,0.0
Albania,male,minor,25.0,5.0,5.0,5.0,4999999.0,36.0,6.0,6.0,6.0,5999999.0,36.0,6.0,6.0,6.0,5999999.0,25.0,5.0,5.0,5.0,4999999.0
Bangladesh,female,adult,1.0,1.0,1.0,1.0,1000001.0,0.0,0.0,0.0,0.0,1.0,25.0,5.0,5.0,5.0,4999999.0,1.0,1.0,1.0,1.0,1000001.0
Bangladesh,female,minor,1.0,1.0,1.0,1.0,1000001.0,0.0,0.0,0.0,0.0,1.0,25.0,5.0,5.0,5.0,4999999.0,1.0,1.0,1.0,1.0,1000001.0
Bangladesh,male,adult,36.0,6.0,6.0,6.0,0.0,36.0,6.0,6.0,6.0,0.0,676.0,26.0,26.0,26.0,0.0,484.0,22.0,22.0,22.0,0.0
Bangladesh,male,minor,1.0,1.0,1.0,1.0,999999.0,0.0,0.0,0.0,0.0,1.0,36.0,6.0,6.0,6.0,5999999.0,1.0,1.0,1.0,1.0,999999.0
Cameroon,female,adult,4.0,2.0,2.0,2.0,0.0,4.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,2.0,2.0,0.0
Cameroon,female,minor,9.0,3.0,3.0,3.0,2999999.0,16.0,4.0,4.0,4.0,3999999.0,36.0,6.0,6.0,6.0,5999999.0,9.0,3.0,3.0,3.0,2999999.0
Cameroon,male,adult,25.0,5.0,5.0,5.0,0.0,4.0,2.0,2.0,2.0,0.0,64.0,8.0,8.0,8.0,1.0,25.0,5.0,5.0,5.0,0.0
Cameroon,male,minor,1.0,1.0,1.0,1.0,999999.0,0.0,0.0,0.0,0.0,1.0,25.0,5.0,5.0,5.0,4999999.0,1.0,1.0,1.0,1.0,999999.0
Democratic Republic of the Congo,female,adult,4.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,2.0,2.0,0.0,4.0,2.0,2.0,2.0,0.0
Democratic Republic of the Congo,female,minor,16.0,4.0,4.0,4.0,0.0,9.0,3.0,3.0,3.0,0.0,16.0,4.0,4.0,4.0,0.0,16.0,4.0,4.0,4.0,0.0
Democratic Republic of the Congo,male,adult,9.0,3.0,3.0,3.0,1.0,4.0,2.0,2.0,2.0,0.0,4.0,2.0,2.0,2.0,0.0,9.0,3.0,3.0,3.0,1.0
Democratic Republic of the Congo,male,minor,16.0,4.0,4.0,4.0,0.0,9.0,3.0,3.0,3.0,0.0,16.0,4.0,4.0,4.0,0.0,16.0,4.0,4.0,4.0,0.0
Egypt,female,adult,4.0,2.0,2.0,2.0,1999999.0,4.0,2.0,2.0,2.0,1999999.0,25.0,5.0,5.0,5.0,4999999.0,4.0,2.0,2.0,2.0,1999999.0
Egypt,female,minor,4.0,2.0,2.0,2.0,0.0,9.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0
Egypt,male,adult,5625.0,75.0,75.0,75.0,0.0,9.0,3.0,3.0,3.0,0.0,5625.0,75.0,75.0,75.0,0.0,36.0,6.0,6.0,6.0,0.0
Egypt,male,minor,4225.0,65.0,65.0,65.0,0.0,576.0,24.0,24.0,24.0,0.0,4225.0,65.0,65.0,65.0,0.0,64.0,8.0,8.0,8.0,0.0
Eritrea,female,adult,484.0,22.0,22.0,22.0,1.0,484.0,22.0,22.0,22.0,1.0,361.0,19.0,19.0,19.0,1.0,529.0,23.0,23.0,23.0,2.0
Eritrea,female,minor,25.0,5.0,5.0,5.0,4999999.0,64.0,8.0,8.0,8.0,7999999.0,36.0,6.0,6.0,6.0,5999999.0,25.0,5.0,5.0,5.0,4999999.0
Eritrea,male,adult,1681.0,41.0,41.0,41.0,1.0,1681.0,41.0,41.0,41.0,1.0,3969.0,63.0,63.0,63.0,2.0,1849.0,43.0,43.0,43.0,1.0
Eritrea,male,minor,36.0,6.0,6.0,6.0,5999999.0,100.0,10.0,10.0,10.0,9999999.0,36.0,6.0,6.0,6.0,5999999.0,36.0,6.0,6.0,6.0,5999999.0
Georgia,female,adult,81.0,9.0,9.0,9.0,0.0,9.0,3.0,3.0,3.0,0.0,121.0,11.0,11.0,11.0,1.0,81.0,9.0,9.0,9.0,0.0
Georgia,female,minor,256.0,16.0,16.0,16.0,1.0,100.0,10.0,10.0,10.0,1.0,196.0,14.0,14.0,14.0,1.0,256.0,16.0,16.0,16.0,1.0
Georgia,male,adult,16.0,4.0,4.0,4.0,0.0,49.0,7.0,7.0,7.0,0.0,49.0,7.0,7.0,7.0,0.0,16.0,4.0,4.0,4.0,0.0
Georgia,male,minor,81.0,9.0,9.0,9.0,1.0,9.0,3.0,3.0,3.0,0.0,16.0,4.0,4.0,4.0,0.0,81.0,9.0,9.0,9.0,1.0
India,female,adult,1.0,1.0,1.0,1.0,999999.0,0.0,0.0,0.0,0.0,1.0,25.0,5.0,5.0,5.0,4999999.0,1.0,1.0,1.0,1.0,999999.0
India,female,minor,1.0,1.0,1.0,1.0,999999.0,0.0,0.0,0.0,0.0,1.0,25.0,5.0,5.0,5.0,4999999.0,1.0,1.0,1.0,1.0,999999.0
India,male,adult,64.0,8.0,8.0,8.0,7999999.0,49.0,7.0,7.0,7.0,6999999.0,49.0,7.0,7.0,7.0,6999999.0,64.0,8.0,8.0,8.0,7999999.0
India,male,minor,1.0,1.0,1.0,1.0,999999.0,0.0,0.0,0.0,0.0,1.0,25.0,5.0,5.0,5.0,4999999.0,1.0,1.0,1.0,1.0,999999.0
Iran,female,adult,49.0,7.0,7.0,7.0,0.0,4.0,2.0,2.0,2.0,0.0,81.0,9.0,9.0,9.0,1.0,49.0,7.0,7.0,7.0,0.0
Iran,female,minor,25.0,5.0,5.0,5.0,1.0,9.0,3.0,3.0,3.0,0.0,25.0,5.0,5.0,5.0,1.0,25.0,5.0,5.0,5.0,1.0
Iran,male,adult,400.0,20.0,20.0,20.0,1.0,100.0,10.0,10.0,10.0,0.0,841.0,29.0,29.0,29.0,1.0,400.0,20.0,20.0,20.0,1.0
Iran,male,minor,4.0,2.0,2.0,2.0,0.0,16.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,2.0,2.0,0.0
Iraq,female,adult,9.0,3.0,3.0,3.0,0.0,9.0,3.0,3.0,3.0,0.0,9.0,3.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0
Iraq,female,minor,4.0,2.0,2.0,2.0,0.0,4.0,2.0,2.0,2.0,0.0,4.0,2.0,2.0,2.0,0.0,4.0,2.0,2.0,2.0,0.0
Iraq,male,adult,400.0,20.0,20.0,20.0,0.0,441.0,21.0,21.0,21.0,0.0,400.0,20.0,20.0,20.0,0.0,324.0,18.0,18.0,18.0,0.0
Iraq,male,minor,100.0,10.0,10.0,10.0,0.0,9.0,3.0,3.0,3.0,0.0,100.0,10.0,10.0,10.0,0.0,144.0,12.0,12.0,12.0,1.0
Pakistan,female,adult,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,25.0,5.0,5.0,5.0,4999999.0,0.0,0.0,0.0,0.0,1.0
Pakistan,female,minor,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,25.0,5.0,5.0,5.0,4999999.0,0.0,0.0,0.0,0.0,1.0
Pakistan,male,adult,169.0,13.0,13.0,13.0,0.0,25.0,5.0,5.0,5.0,0.0,169.0,13.0,13.0,13.0,0.0,144.0,12.0,12.0,12.0,0.0
Pakistan,male,minor,81.0,9.0,9.0,9.0,8999999.0,36.0,6.0,6.0,6.0,5999999.0,81.0,9.0,9.0,9.0,8999999.0,81.0,9.0,9.0,9.0,8999999.0
Palestine,female,adult,49.0,7.0,7.0,7.0,1.0,4.0,2.0,2.0,2.0,0.0,25.0,5.0,5.0,5.0,0.0,49.0,7.0,7.0,7.0,1.0
Palestine,female,minor,9.0,3.0,3.0,3.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,3.0,3.0,0.0
Palestine,male,adult,484.0,22.0,22.0,22.0,0.0,484.0,22.0,22.0,22.0,0.0,1764.0,42.0,42.0,42.0,1.0,225.0,15.0,15.0,15.0,0.0
