Country,MSE Ensemble,RMSE Ensemble,MAE Ensemble,MDAE Ensemble,MAPE Ensemble,MSE XGBoost,RMSE XGBoost,MAE XGBoost,MDAE XGBoost,MAPE XGBoost,MSE LSTM,RMSE LSTM,MAE LSTM,MDAE LSTM,MAPE LSTM,MSE NN,RMSE NN,MAE NN,MDAE NN,MAPE NN
Afghanistan,6569.0,133.0,133.0,133.0,0.0,9597.0,191.0,191.0,191.0,0.0,11599.0,173.0,173.0,173.0,0.0,123442.0,692.0,692.0,692.0,0.0
Albania,183.0,25.0,25.0,25.0,2.0,38.0,12.0,12.0,12.0,0.0,315.0,33.0,33.0,33.0,2.0,183.0,25.0,25.0,25.0,2.0
Bangladesh,67.0,13.0,13.0,13.0,6000001.0,65.0,11.0,11.0,11.0,4000001.0,95.0,19.0,19.0,19.0,15999997.0,27.0,9.0,9.0,9.0,6000001.0
Cameroon,82.0,18.0,18.0,18.0,3999999.0,147.0,21.0,21.0,21.0,4000001.0,54.0,12.0,12.0,12.0,5999999.0,82.0,18.0,18.0,18.0,3999999.0
Democratic Republic of the Congo,130.0,20.0,20.0,20.0,9000000.0,87.0,17.0,17.0,17.0,7000000.0,90.0,16.0,16.0,16.0,8000000.0,130.0,20.0,20.0,20.0,9000000.0
Egypt,9596.0,140.0,140.0,140.0,2000002.0,5642.0,80.0,80.0,80.0,1000000.0,10260.0,152.0,152.0,152.0,9999998.0,20202.0,174.0,174.0,174.0,2000002.0
Eritrea,2071.0,79.0,79.0,79.0,2.0,1852.0,68.0,68.0,68.0,0.0,10226.0,156.0,156.0,156.0,4.0,16013.0,185.0,185.0,185.0,4.0
Georgia,345.0,35.0,35.0,35.0,1.0,161.0,19.0,19.0,19.0,1.0,365.0,33.0,33.0,33.0,1.0,301.0,33.0,33.0,33.0,1.0
India,76.0,14.0,14.0,14.0,13999996.0,25.0,5.0,5.0,5.0,5000002.0,124.0,22.0,22.0,22.0,21999996.0,76.0,14.0,14.0,14.0,13999996.0
Iran,130.0,22.0,22.0,22.0,1.0,38.0,8.0,8.0,8.0,1.0,282.0,28.0,28.0,28.0,2.0,130.0,22.0,22.0,22.0,1.0
Iraq,1222.0,62.0,62.0,62.0,2.0,629.0,43.0,43.0,43.0,1.0,2691.0,101.0,101.0,101.0,3.0,381.0,35.0,35.0,35.0,0.0
Pakistan,708.0,36.0,36.0,36.0,2000003.0,746.0,36.0,36.0,36.0,3.0,1731.0,59.0,59.0,59.0,10000000.0,292.0,26.0,26.0,26.0,2000003.0
Palestine,13425.0,177.0,177.0,177.0,1.0,12587.0,149.0,149.0,149.0,0.0,4680.0,124.0,124.0,124.0,1.0,13665.0,139.0,139.0,139.0,0.0
Sierra Leone,434.0,36.0,36.0,36.0,2999999.0,225.0,25.0,25.0,25.0,5999999.0,525.0,43.0,43.0,43.0,6000000.0,306.0,30.0,30.0,30.0,2999999.0
Somalia,206.0,20.0,20.0,20.0,0.0,77.0,15.0,15.0,15.0,0.0,206.0,20.0,20.0,20.0,0.0,131.0,15.0,15.0,15.0,1.0
Syria,18450.0,260.0,260.0,260.0,0.0,15318.0,206.0,206.0,206.0,0.0,28292.0,330.0,330.0,330.0,1.0,768903.0,999.0,999.0,999.0,1.0
Türkiye,20706.0,202.0,202.0,202.0,3.0,866.0,54.0,54.0,54.0,1.0,20797.0,205.0,205.0,205.0,3.0,502.0,40.0,40.0,40.0,1.0
Yemen,1547.0,47.0,47.0,47.0,0.0,1545.0,47.0,47.0,47.0,0.0,6594.0,90.0,90.0,90.0,1.0,9242.0,104.0,104.0,104.0,1.0
