Country,MSE Ensemble,RMSE Ensemble,MAE Ensemble,MDAE Ensemble,MAPE Ensemble,MSE XGBoost,RMSE XGBoost,MAE XGBoost,MDAE XGBoost,MAPE XGBoost,MSE LSTM,RMSE LSTM,MAE LSTM,MDAE LSTM,MAPE LSTM,MSE NN,RMSE NN,MAE NN,MDAE NN,MAPE NN
"('Afghanistan',)",29241.0,171.0,171.0,171.0,0.0,29241.0,171.0,171.0,171.0,0.0,28900.0,170.0,170.0,170.0,0.0,412164.0,642.0,642.0,642.0,0.0
"('Albania',)",256.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,28.0,28.0,28.0,0.0,256.0,16.0,16.0,16.0,0.0
"('Bangladesh',)",361.0,19.0,19.0,19.0,1.0,144.0,12.0,12.0,12.0,1.0,196.0,14.0,14.0,14.0,1.0,361.0,19.0,19.0,19.0,1.0
"('Cameroon',)",100.0,10.0,10.0,10.0,0.0,441.0,21.0,21.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,10.0,10.0,10.0,0.0
"('Democratic Republic of the Congo',)",2209.0,47.0,47.0,47.0,2.0,144.0,12.0,12.0,12.0,0.0,196.0,14.0,14.0,14.0,1.0,2209.0,47.0,47.0,47.0,2.0
"('Egypt',)",56644.0,238.0,238.0,238.0,0.0,2916.0,54.0,54.0,54.0,0.0,10201.0,101.0,101.0,101.0,0.0,56644.0,238.0,238.0,238.0,0.0
"('Eritrea',)",4225.0,65.0,65.0,65.0,0.0,4225.0,65.0,65.0,65.0,0.0,19600.0,140.0,140.0,140.0,1.0,28900.0,170.0,170.0,170.0,1.0
"('Georgia',)",361.0,19.0,19.0,19.0,0.0,400.0,20.0,20.0,20.0,0.0,961.0,31.0,31.0,31.0,0.0,361.0,19.0,19.0,19.0,0.0
"('India',)",784.0,28.0,28.0,28.0,27999999.0,49.0,7.0,7.0,7.0,6999999.0,900.0,30.0,30.0,30.0,29999999.0,784.0,28.0,28.0,28.0,27999999.0
"('Iran',)",16.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,10.0,10.0,10.0,0.0,16.0,4.0,4.0,4.0,0.0
"('Iraq',)",9409.0,97.0,97.0,97.0,0.0,9409.0,97.0,97.0,97.0,0.0,28900.0,170.0,170.0,170.0,1.0,121.0,11.0,11.0,11.0,0.0
"('Pakistan',)",1369.0,37.0,37.0,37.0,1.0,1369.0,37.0,37.0,37.0,1.0,4356.0,66.0,66.0,66.0,1.0,3364.0,58.0,58.0,58.0,1.0
"('Palestine',)",11025.0,105.0,105.0,105.0,0.0,11025.0,105.0,105.0,105.0,0.0,1521.0,39.0,39.0,39.0,0.0,1296.0,36.0,36.0,36.0,0.0
"('Sierra Leone',)",1936.0,44.0,44.0,44.0,0.0,1936.0,44.0,44.0,44.0,0.0,9.0,3.0,3.0,3.0,0.0,484.0,22.0,22.0,22.0,0.0
"('Somalia',)",3600.0,60.0,60.0,60.0,1.0,36.0,6.0,6.0,6.0,0.0,3600.0,60.0,60.0,60.0,1.0,4.0,2.0,2.0,2.0,0.0
"('Syria',)",693889.0,833.0,833.0,833.0,1.0,693889.0,833.0,833.0,833.0,1.0,97344.0,312.0,312.0,312.0,0.0,471969.0,687.0,687.0,687.0,0.0
"('Türkiye',)",144.0,12.0,12.0,12.0,0.0,196.0,14.0,14.0,14.0,0.0,43681.0,209.0,209.0,209.0,1.0,144.0,12.0,12.0,12.0,0.0
"('Yemen',)",3364.0,58.0,58.0,58.0,0.0,3364.0,58.0,58.0,58.0,0.0,14884.0,122.0,122.0,122.0,1.0,8464.0,92.0,92.0,92.0,0.0
