Country,MSE Ensemble,RMSE Ensemble,MAE Ensemble,MDAE Ensemble,MSE XGBoost,RMSE XGBoost,MAE XGBoost,MDAE XGBoost,MSE LSTM,RMSE LSTM,MAE LSTM,MDAE LSTM,MSE NN,RMSE NN,MAE NN,MDAE NN
Afghanistan,1642.25,40.52,33.25,29.0,2399.25,48.98,47.75,44.0,2899.75,53.85,43.25,41.5,30860.5,175.67,173.0,172.5
Albania,45.75,6.76,6.25,6.0,9.5,3.08,3.0,3.0,78.75,8.87,8.25,8.0,45.75,6.76,6.25,6.0
Bangladesh,16.75,4.09,3.25,2.5,16.25,4.03,2.75,2.0,23.75,4.87,4.75,5.0,6.75,2.6,2.25,2.0
Cameroon,20.5,4.53,4.5,4.5,36.75,6.06,5.25,5.5,13.5,3.67,3.0,2.5,20.5,4.53,4.5,4.5
Democratic Republic of the Congo,32.5,5.7,5.0,4.5,21.75,4.66,4.25,4.0,22.5,4.74,4.0,3.5,32.5,5.7,5.0,4.5
Egypt,2399.0,48.98,35.0,32.0,1410.5,37.56,20.0,2.5,2565.0,50.65,38.0,34.0,5050.5,71.07,43.5,17.5
Eritrea,517.75,22.75,19.75,15.0,463.0,21.52,17.0,12.0,2556.5,50.56,39.0,28.5,4003.25,63.27,46.25,28.5
Georgia,86.25,9.29,8.75,9.5,40.25,6.34,4.75,4.0,91.25,9.55,8.25,8.0,75.25,8.67,8.25,9.0
India,19.0,4.36,3.5,2.0,6.25,2.5,1.25,0.0,31.0,5.57,5.5,5.0,19.0,4.36,3.5,2.0
Iran,32.5,5.7,5.5,5.5,9.5,3.08,2.0,1.0,70.5,8.4,7.0,4.5,32.5,5.7,5.5,5.5
Iraq,305.5,17.48,15.5,18.5,157.25,12.54,10.75,10.5,672.75,25.94,25.25,25.5,95.25,9.76,8.75,9.5
Pakistan,177.0,13.3,9.0,5.0,186.5,13.66,9.0,5.5,432.75,20.8,14.75,7.0,73.0,8.54,6.5,6.0
Palestine,3356.25,57.93,44.25,23.0,3146.75,56.1,37.25,16.5,1170.0,34.21,31.0,23.0,3416.25,58.45,34.75,9.5
Sierra Leone,108.5,10.42,9.0,8.0,56.25,7.5,6.25,5.0,131.25,11.46,10.75,10.0,76.5,8.75,7.5,6.0
Somalia,51.5,7.18,5.0,3.5,19.25,4.39,3.75,4.5,51.5,7.18,5.0,3.5,32.75,5.72,3.75,2.0
Syria,4612.5,67.92,65.0,54.5,3829.5,61.88,51.5,52.5,7073.0,84.1,82.5,87.0,192225.75,438.44,249.75,54.5
Türkiye,5176.5,71.95,50.5,24.0,216.5,14.71,13.5,13.0,5199.25,72.11,51.25,23.0,125.5,11.2,10.0,10.5
Yemen,386.75,19.67,11.75,3.5,386.25,19.65,11.75,3.0,1648.5,40.6,22.5,4.0,2310.5,48.07,26.0,3.5
