country,year_month,True Values,Ensemble Prediction,XGBoost Lower CI,XGBoost Upper CI,LSTM Lower CI,LSTM Upper CI,NN Lower CI,NN Upper CI,Ensemble Lower CI,Ensemble Upper CI,Residuals,XGBoost Prediction,LSTM Prediction,NN Prediction
Afghanistan,2024-01-01,2770.0,2665.0,1946.0,3212.0,2307.0,3220.0,1718.0,2437.0,1974.0,3355.0,105.0,2579.0,2763.0,2078.0
Albania,2024-01-01,60.0,35.0,51.0,61.0,20.0,35.0,2.0,66.0,2.0,66.0,25.0,56.0,27.0,35.0
Bangladesh,2024-01-01,15.0,24.0,13.0,39.0,19.0,39.0,-5.0,46.0,-2.0,51.0,-9.0,26.0,28.0,20.0
Cameroon,2024-01-01,30.0,40.0,34.0,62.0,20.0,39.0,11.0,69.0,11.0,69.0,-10.0,49.0,30.0,40.0
Democratic Republic of the Congo,2024-01-01,25.0,39.0,24.0,51.0,20.0,46.0,-9.0,90.0,-9.0,90.0,-14.0,38.0,33.0,39.0
Egypt,2024-01-01,560.0,546.0,341.0,639.0,458.0,652.0,281.0,491.0,354.0,739.0,14.0,490.0,554.0,386.0
Eritrea,2024-01-01,270.0,191.0,82.0,322.0,69.0,159.0,44.0,126.0,63.0,319.0,79.0,202.0,114.0,85.0
Georgia,2024-01-01,75.0,40.0,77.0,112.0,23.0,62.0,14.0,73.0,10.0,74.0,35.0,94.0,42.0,42.0
India,2024-01-01,0.0,14.0,-1.0,12.0,13.0,29.0,-38.0,63.0,-38.0,63.0,-14.0,5.0,22.0,14.0
Iran,2024-01-01,60.0,38.0,42.0,62.0,15.0,48.0,-15.0,89.0,-15.0,89.0,22.0,52.0,32.0,38.0
Iraq,2024-01-01,200.0,262.0,119.0,369.0,181.0,422.0,96.0,318.0,112.0,411.0,-62.0,243.0,301.0,207.0
Pakistan,2024-01-01,65.0,97.0,58.0,143.0,81.0,168.0,37.0,137.0,32.0,161.0,-32.0,101.0,124.0,87.0
Palestine,2024-01-01,660.0,749.0,367.0,1251.0,460.0,933.0,519.0,1004.0,279.0,1219.0,-89.0,809.0,696.0,761.0
Sierra Leone,2024-01-01,125.0,149.0,119.0,182.0,102.0,196.0,54.0,145.0,91.0,205.0,-24.0,150.0,148.0,101.0
Somalia,2024-01-01,110.0,128.0,75.0,176.0,65.0,194.0,76.0,172.0,65.0,194.0,-18.0,125.0,128.0,125.0
Syria,2024-01-01,1590.0,1850.0,800.0,2791.0,1016.0,2488.0,1811.0,3366.0,786.0,2914.0,-260.0,1796.0,1752.0,2589.0
Türkiye,2024-01-01,340.0,542.0,324.0,463.0,430.0,661.0,309.0,450.0,422.0,662.0,-202.0,394.0,545.0,380.0
Yemen,2024-01-01,185.0,138.0,78.0,198.0,64.0,131.0,46.0,116.0,64.0,213.0,47.0,138.0,97.0,81.0
