Country,MSE Ensemble,RMSE Ensemble,MAE Ensemble,MDAE Ensemble,MAPE Ensemble,MSE XGBoost,RMSE XGBoost,MAE XGBoost,MDAE XGBoost,MAPE XGBoost,MSE LSTM,RMSE LSTM,MAE LSTM,MDAE LSTM,MAPE LSTM,MSE NN,RMSE NN,MAE NN,MDAE NN,MAPE NN
Afghanistan,44594.0,308.0,308.0,308.0,0.0,46050.0,336.0,336.0,336.0,0.0,100638.0,468.0,468.0,468.0,0.0,195578.0,872.0,872.0,872.0,0.0
Albania,399.0,35.0,35.0,35.0,2.0,95.0,15.0,15.0,15.0,0.0,645.0,43.0,43.0,43.0,3.0,399.0,35.0,35.0,35.0,2.0
Bangladesh,735.0,31.0,31.0,31.0,4000001.0,729.0,27.0,27.0,27.0,3.0,4311.0,81.0,81.0,81.0,15999998.0,3850.0,66.0,66.0,66.0,4000002.0
Cameroon,107.0,17.0,17.0,17.0,6999998.0,97.0,17.0,17.0,17.0,7999998.0,257.0,29.0,29.0,29.0,11999999.0,107.0,17.0,17.0,17.0,6999998.0
Democratic Republic of the Congo,69.0,11.0,11.0,11.0,7999999.0,31.0,9.0,9.0,9.0,4999999.0,66.0,14.0,14.0,14.0,6999999.0,69.0,11.0,11.0,11.0,7999999.0
Egypt,2061.0,67.0,67.0,67.0,2.0,2055.0,67.0,67.0,67.0,1000000.0,1938.0,56.0,56.0,56.0,4999999.0,18498.0,196.0,196.0,196.0,2.0
Eritrea,1869.0,75.0,75.0,75.0,1.0,1734.0,66.0,66.0,66.0,0.0,3969.0,103.0,103.0,103.0,2.0,7114.0,134.0,134.0,134.0,2.0
Georgia,380.0,30.0,30.0,30.0,3999999.0,149.0,23.0,23.0,23.0,14999998.0,634.0,44.0,44.0,44.0,11999999.0,380.0,30.0,30.0,30.0,3999999.0
India,42.0,10.0,10.0,10.0,3999997.0,49.0,7.0,7.0,7.0,3.0,124.0,22.0,22.0,22.0,14999997.0,42.0,10.0,10.0,10.0,3999997.0
Iran,38.0,12.0,12.0,12.0,3999999.0,27.0,9.0,9.0,9.0,3999999.0,157.0,23.0,23.0,23.0,5000000.0,38.0,12.0,12.0,12.0,3999999.0
Iraq,2406.0,98.0,98.0,98.0,7.0,1256.0,52.0,52.0,52.0,3.0,5034.0,136.0,136.0,136.0,9.0,2170.0,92.0,92.0,92.0,7.0
Pakistan,3487.0,63.0,63.0,63.0,2000002.0,3490.0,62.0,62.0,62.0,2.0,4276.0,76.0,76.0,76.0,9999998.0,8287.0,95.0,95.0,95.0,2000003.0
Palestine,5571.0,119.0,119.0,119.0,7.0,2626.0,82.0,82.0,82.0,3.0,3923.0,89.0,89.0,89.0,6.0,1602.0,62.0,62.0,62.0,6.0
Sierra Leone,223.0,27.0,27.0,27.0,2.0,156.0,20.0,20.0,20.0,0.0,289.0,29.0,29.0,29.0,1.0,235.0,29.0,29.0,29.0,2.0
Somalia,335.0,31.0,31.0,31.0,4.0,63.0,15.0,15.0,15.0,1.0,156.0,22.0,22.0,22.0,2.0,356.0,34.0,34.0,34.0,4.0
Syria,17865.0,253.0,253.0,253.0,1.0,12637.0,187.0,187.0,187.0,0.0,16329.0,245.0,245.0,245.0,1.0,1166.0,50.0,50.0,50.0,0.0
Türkiye,4515.0,73.0,73.0,73.0,0.0,219.0,27.0,27.0,27.0,0.0,4515.0,73.0,73.0,73.0,0.0,1161.0,37.0,37.0,37.0,0.0
Yemen,138.0,22.0,22.0,22.0,8999998.0,26.0,10.0,10.0,10.0,4999998.0,169.0,25.0,25.0,25.0,11999998.0,841.0,41.0,41.0,41.0,8999998.0
