country,year_month,True Values,Ensemble Prediction,XGBoost Lower CI,XGBoost Upper CI,LSTM Lower CI,LSTM Upper CI,NN Lower CI,NN Upper CI,Ensemble Lower CI,Ensemble Upper CI,Residuals,XGBoost Prediction,LSTM Prediction,NN Prediction,Ensemble Error
Afghanistan,2024-01-01,2770.0,2599.0,1843.0,3355.0,2419.0,3460.0,1417.0,2839.0,1843.0,3355.0,171.0,2599.0,2940.0,2128.0,171.0
Albania,2024-01-01,60.0,44.0,54.0,66.0,26.0,37.0,6.0,82.0,6.0,82.0,16.0,60.0,32.0,44.0,16.0
Bangladesh,2024-01-01,15.0,34.0,10.0,44.0,23.0,35.0,4.0,64.0,4.0,64.0,-19.0,27.0,29.0,34.0,-19.0
Cameroon,2024-01-01,30.0,40.0,30.0,72.0,23.0,37.0,13.0,68.0,13.0,68.0,-10.0,51.0,30.0,40.0,-10.0
Democratic Republic of the Congo,2024-01-01,25.0,72.0,15.0,59.0,17.0,61.0,16.0,128.0,16.0,128.0,-47.0,37.0,39.0,72.0,-47.0
Egypt,2024-01-01,560.0,322.0,399.0,614.0,351.0,568.0,213.0,430.0,213.0,430.0,238.0,506.0,459.0,322.0,238.0
Eritrea,2024-01-01,270.0,205.0,87.0,324.0,72.0,189.0,40.0,160.0,87.0,324.0,65.0,205.0,130.0,100.0,65.0
Georgia,2024-01-01,75.0,56.0,76.0,113.0,24.0,64.0,15.0,96.0,15.0,96.0,19.0,95.0,44.0,56.0,19.0
India,2024-01-01,0.0,28.0,-2.0,16.0,22.0,38.0,-12.0,69.0,-12.0,69.0,-28.0,7.0,30.0,28.0,-28.0
Iran,2024-01-01,60.0,56.0,51.0,68.0,9.0,92.0,-1.0,113.0,-1.0,113.0,4.0,60.0,50.0,56.0,4.0
Iraq,2024-01-01,200.0,297.0,33.0,561.0,204.0,535.0,68.0,354.0,33.0,561.0,-97.0,297.0,370.0,211.0,-97.0
Pakistan,2024-01-01,65.0,102.0,42.0,161.0,92.0,170.0,72.0,175.0,42.0,161.0,-37.0,102.0,131.0,123.0,-37.0
Palestine,2024-01-01,660.0,765.0,400.0,1130.0,521.0,877.0,407.0,842.0,400.0,1130.0,-105.0,765.0,699.0,624.0,-105.0
Sierra Leone,2024-01-01,125.0,169.0,100.0,239.0,79.0,176.0,54.0,151.0,100.0,239.0,-44.0,169.0,128.0,103.0,-44.0
Somalia,2024-01-01,110.0,170.0,95.0,138.0,72.0,267.0,49.0,175.0,72.0,267.0,-60.0,116.0,170.0,112.0,-60.0
Syria,2024-01-01,1590.0,2423.0,813.0,4034.0,1384.0,2420.0,1205.0,3348.0,813.0,4034.0,-833.0,2423.0,1902.0,2277.0,-833.0
Türkiye,2024-01-01,340.0,328.0,286.0,421.0,464.0,634.0,212.0,445.0,212.0,445.0,12.0,354.0,549.0,328.0,12.0
Yemen,2024-01-01,185.0,127.0,58.0,196.0,27.0,99.0,48.0,137.0,58.0,196.0,58.0,127.0,63.0,93.0,58.0
