Country,MSE Ensemble,RMSE Ensemble,MAE Ensemble,MDAE Ensemble,MAPE Ensemble,MSE XGBoost,RMSE XGBoost,MAE XGBoost,MDAE XGBoost,MAPE XGBoost,MSE LSTM,RMSE LSTM,MAE LSTM,MDAE LSTM,MAPE LSTM,MSE NN,RMSE NN,MAE NN,MDAE NN,MAPE NN
"('Afghanistan',)",91204.0,302.0,302.0,302.0,0.0,91204.0,302.0,302.0,302.0,0.0,1442401.0,1201.0,1201.0,1201.0,1.0,314721.0,561.0,561.0,561.0,0.0
"('Albania',)",25.0,5.0,5.0,5.0,0.0,144.0,12.0,12.0,12.0,0.0,361.0,19.0,19.0,19.0,0.0,25.0,5.0,5.0,5.0,0.0
"('Bangladesh',)",361.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1156.0,34.0,34.0,34.0,1.0,361.0,19.0,19.0,19.0,0.0
"('Cameroon',)",25.0,5.0,5.0,5.0,0.0,9.0,3.0,3.0,3.0,0.0,49.0,7.0,7.0,7.0,0.0,25.0,5.0,5.0,5.0,0.0
"('Democratic Republic of the Congo',)",841.0,29.0,29.0,29.0,1.0,25.0,5.0,5.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,841.0,29.0,29.0,29.0,1.0
"('Egypt',)",3969.0,63.0,63.0,63.0,0.0,256.0,16.0,16.0,16.0,0.0,8649.0,93.0,93.0,93.0,0.0,3969.0,63.0,63.0,63.0,0.0
"('Eritrea',)",1936.0,44.0,44.0,44.0,1.0,1936.0,44.0,44.0,44.0,1.0,10000.0,100.0,100.0,100.0,2.0,5041.0,71.0,71.0,71.0,1.0
"('Georgia',)",484.0,22.0,22.0,22.0,0.0,4.0,2.0,2.0,2.0,0.0,1156.0,34.0,34.0,34.0,1.0,484.0,22.0,22.0,22.0,0.0
"('India',)",841.0,29.0,29.0,29.0,28999999.0,36.0,6.0,6.0,6.0,5999999.0,841.0,29.0,29.0,29.0,28999999.0,841.0,29.0,29.0,29.0,28999999.0
"('Iran',)",529.0,23.0,23.0,23.0,0.0,81.0,9.0,9.0,9.0,0.0,625.0,25.0,25.0,25.0,0.0,529.0,23.0,23.0,23.0,0.0
"('Iraq',)",841.0,29.0,29.0,29.0,0.0,36.0,6.0,6.0,6.0,0.0,841.0,29.0,29.0,29.0,0.0,484.0,22.0,22.0,22.0,0.0
"('Pakistan',)",676.0,26.0,26.0,26.0,0.0,441.0,21.0,21.0,21.0,0.0,441.0,21.0,21.0,21.0,0.0,676.0,26.0,26.0,26.0,0.0
"('Palestine',)",6889.0,83.0,83.0,83.0,1.0,2916.0,54.0,54.0,54.0,1.0,6889.0,83.0,83.0,83.0,1.0,6400.0,80.0,80.0,80.0,1.0
"('Sierra Leone',)",1681.0,41.0,41.0,41.0,0.0,81.0,9.0,9.0,9.0,0.0,3844.0,62.0,62.0,62.0,1.0,1681.0,41.0,41.0,41.0,0.0
"('Somalia',)",1089.0,33.0,33.0,33.0,1.0,64.0,8.0,8.0,8.0,0.0,484.0,22.0,22.0,22.0,1.0,1089.0,33.0,33.0,33.0,1.0
"('Syria',)",4.0,2.0,2.0,2.0,0.0,4.0,2.0,2.0,2.0,0.0,27556.0,166.0,166.0,166.0,0.0,36100.0,190.0,190.0,190.0,0.0
"('Türkiye',)",16129.0,127.0,127.0,127.0,0.0,1444.0,38.0,38.0,38.0,0.0,1024.0,32.0,32.0,32.0,0.0,16129.0,127.0,127.0,127.0,0.0
"('Yemen',)",225.0,15.0,15.0,15.0,0.0,729.0,27.0,27.0,27.0,0.0,225.0,15.0,15.0,15.0,0.0,225.0,15.0,15.0,15.0,0.0
