"year","type_of_violence","conflict_name","side_a","side_b","source_date","country","event_clarity","deaths_civilians","date_start","date_end"
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-11;2024-04-12","Israel",1,3,2024-04-11,2024-04-11
2024,1,"Israel: Palestine","Government of Israel","PIJ","2024-04-12;2024-04-17","Israel",1,1,2024-04-12,2024-04-12
2024,1,"Israel: Palestine","Government of Israel","PIJ","2024-04-17;2024-04-12","Israel",1,1,2024-04-12,2024-04-12
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-12;2024-04-15","Israel",1,1,2024-04-12,2024-04-12
2024,1,"Somalia: Government","Government of Somalia","Al-Shabaab","2024-04-11;2024-04-06;2024-04-06;2024-04-06;2024-05-01","Somalia",1,0,2024-04-06,2024-04-06
2024,1,"India: Kashmir","Government of India","Kashmir insurgents","2024-04-05;2024-05-06;2024-04-05;2024-04-06;2024-04-05","India",1,0,2024-04-05,2024-04-05
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-15;2024-04-12;2024-04-12;2024-04-12","Israel",1,0,2024-04-12,2024-04-12
2024,3,"Israeli settlers - Civilians","Israeli settlers","Civilians","2024-04-12;2024-04-17","Israel",1,1,2024-04-12,2024-04-12
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-12;2024-04-15","Israel",1,0,2024-04-12,2024-04-12
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-12","Israel",1,2,2024-04-12,2024-04-12
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-13;2024-04-15","Israel",1,3,2024-04-13,2024-04-13
2024,1,"Israel: Palestine","Government of Israel","Hamas","2024-04-15;2024-04-13","Israel",1,3,2024-04-13,2024-04-13
2024,1,"Iran: Government","Government of Iran","Jaish al-Adl","2024-04-04","Iran",1,0,2024-04-04,2024-04-04
2024,1,"Iran: Government","Government of Iran","Jaish al-Adl","2024-04-04;2024-04-06","Iran",1,0,2024-04-04,2024-04-04
