Country,Sex,Age Group,MSE Ensemble,RMSE Ensemble,MAE Ensemble,MDAE Ensemble,MAPE Ensemble,MSE XGBoost,RMSE XGBoost,MAE XGBoost,MDAE XGBoost,MAPE XGBoost,MSE LSTM,RMSE LSTM,MAE LSTM,MDAE LSTM,MAPE LSTM,MSE NN,RMSE NN,MAE NN,MDAE NN,MAPE NN
Sierra Leone,female,adult,100.0,10.0,10.0,10.0,0.0,169.0,13.0,13.0,13.0,0.0,100.0,10.0,10.0,10.0,0.0,36.0,6.0,6.0,6.0,0.0
Sierra Leone,female,minor,9.0,3.0,3.0,3.0,2999999.0,36.0,6.0,6.0,6.0,5999999.0,36.0,6.0,6.0,6.0,5999999.0,9.0,3.0,3.0,3.0,2999999.0
Sierra Leone,male,adult,289.0,17.0,17.0,17.0,0.0,4.0,2.0,2.0,2.0,0.0,289.0,17.0,17.0,17.0,0.0,225.0,15.0,15.0,15.0,0.0
Sierra Leone,male,minor,36.0,6.0,6.0,6.0,0.0,16.0,4.0,4.0,4.0,0.0,100.0,10.0,10.0,10.0,1.0,36.0,6.0,6.0,6.0,0.0
Somalia,female,adult,36.0,6.0,6.0,6.0,0.0,16.0,4.0,4.0,4.0,0.0,36.0,6.0,6.0,6.0,0.0,121.0,11.0,11.0,11.0,1.0
Somalia,female,minor,0.0,0.0,0.0,0.0,0.0,25.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Somalia,male,adult,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Somalia,male,minor,169.0,13.0,13.0,13.0,0.0,36.0,6.0,6.0,6.0,0.0,169.0,13.0,13.0,13.0,0.0,9.0,3.0,3.0,3.0,0.0
Syria,female,adult,2809.0,53.0,53.0,53.0,0.0,2809.0,53.0,53.0,53.0,0.0,10000.0,100.0,100.0,100.0,1.0,1444.0,38.0,38.0,38.0,0.0
Syria,female,minor,3136.0,56.0,56.0,56.0,0.0,4.0,2.0,2.0,2.0,0.0,3136.0,56.0,56.0,56.0,0.0,289.0,17.0,17.0,17.0,0.0
Syria,male,adult,2704.0,52.0,52.0,52.0,0.0,2704.0,52.0,52.0,52.0,0.0,7056.0,84.0,84.0,84.0,0.0,762129.0,873.0,873.0,873.0,1.0
Syria,male,minor,9801.0,99.0,99.0,99.0,0.0,9801.0,99.0,99.0,99.0,0.0,8100.0,90.0,90.0,90.0,0.0,5041.0,71.0,71.0,71.0,0.0
Türkiye,female,adult,676.0,26.0,26.0,26.0,1.0,121.0,11.0,11.0,11.0,0.0,676.0,26.0,26.0,26.0,1.0,36.0,6.0,6.0,6.0,0.0
Türkiye,female,minor,484.0,22.0,22.0,22.0,1.0,484.0,22.0,22.0,22.0,1.0,400.0,20.0,20.0,20.0,1.0,225.0,15.0,15.0,15.0,1.0
Türkiye,male,adult,19321.0,139.0,139.0,139.0,1.0,36.0,6.0,6.0,6.0,0.0,19321.0,139.0,139.0,139.0,1.0,225.0,15.0,15.0,15.0,0.0
Türkiye,male,minor,225.0,15.0,15.0,15.0,0.0,225.0,15.0,15.0,15.0,0.0,400.0,20.0,20.0,20.0,0.0,16.0,4.0,4.0,4.0,0.0
Yemen,female,adult,9.0,3.0,3.0,3.0,0.0,4.0,2.0,2.0,2.0,0.0,16.0,4.0,4.0,4.0,0.0,9.0,3.0,3.0,3.0,0.0
Yemen,female,minor,1.0,1.0,1.0,1.0,0.0,4.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
Yemen,male,adult,1521.0,39.0,39.0,39.0,0.0,1521.0,39.0,39.0,39.0,0.0,6561.0,81.0,81.0,81.0,1.0,9216.0,96.0,96.0,96.0,1.0
Yemen,male,minor,16.0,4.0,4.0,4.0,0.0,16.0,4.0,4.0,4.0,0.0,16.0,4.0,4.0,4.0,0.0,16.0,4.0,4.0,4.0,0.0
