"country","year_month","state_based_conflict","one_sided_violence","non_state_conflict","deaths_civilians","type_of_violence_category"
"Afghanistan",2018-03-01,66,38,0,104,7
"Afghanistan",2018-04-01,91,98,0,189,5
"Afghanistan",2018-05-01,70,18,0,88,7
"Afghanistan",2018-06-01,32,16,0,48,7
"Afghanistan",2018-07-01,92,32,15,139,7
"Afghanistan",2018-08-01,44,85,0,129,7
"Afghanistan",2018-09-01,94,100,0,194,7
"Afghanistan",2018-10-01,167,58,1,226,7
"Afghanistan",2018-11-01,109,67,0,176,7
"Afghanistan",2018-12-01,130,1,0,131,7
"Afghanistan",2019-01-01,38,18,0,56,7
"Afghanistan",2019-02-01,51,12,0,63,7
"Afghanistan",2019-03-01,122,7,0,129,5
"Afghanistan",2019-04-01,49,9,0,58,7
"Afghanistan",2019-05-01,207,21,1,229,7
"Afghanistan",2019-06-01,43,19,0,62,5
"Afghanistan",2019-07-01,249,37,0,286,7
"Afghanistan",2019-08-01,67,116,5,188,7
"Afghanistan",2019-09-01,311,20,0,331,5
"Afghanistan",2019-10-01,66,91,0,157,5
"Afghanistan",2019-11-01,91,6,0,97,7
"Afghanistan",2019-12-01,73,16,0,89,5
"Afghanistan",2020-01-01,82,14,0,96,5
"Afghanistan",2020-02-01,48,18,0,66,5
"Afghanistan",2020-03-01,87,57,0,144,5
"Afghanistan",2020-04-01,62,20,0,82,5
"Afghanistan",2020-05-01,99,71,0,170,5
"Afghanistan",2020-06-01,95,21,0,116,5
"Afghanistan",2020-07-01,102,18,0,120,5
"Afghanistan",2020-08-01,162,12,0,174,5
"Afghanistan",2020-09-01,120,19,0,139,5
"Afghanistan",2020-10-01,196,51,0,247,5
"Afghanistan",2020-11-01,141,22,0,163,7
"Afghanistan",2020-12-01,65,19,0,84,5
"Afghanistan",2021-01-01,73,29,2,104,7
"Afghanistan",2021-02-01,24,8,0,32,5
"Afghanistan",2021-03-01,104,28,0,132,5
"Afghanistan",2021-04-01,96,22,0,118,5
"Afghanistan",2021-05-01,123,124,0,247,7
"Afghanistan",2021-06-01,173,76,0,249,5
"Afghanistan",2021-07-01,188,47,0,235,5
"Afghanistan",2021-08-01,211,33,0,244,5
"Afghanistan",2021-09-01,9,48,0,57,5
"Afghanistan",2021-10-01,29,147,0,176,5
"Afghanistan",2021-11-01,9,13,0,22,5
"Afghanistan",2021-12-01,2,11,0,13,5
"Afghanistan",2022-01-01,1,14,0,15,5
"Afghanistan",2022-02-01,0,3,0,3,5
"Afghanistan",2022-03-01,1,7,0,8,5
"Afghanistan",2022-04-01,48,241,0,289,5
"Afghanistan",2022-05-01,4,71,0,75,5
"Afghanistan",2022-06-01,3,66,0,69,5
"Afghanistan",2022-07-01,0,12,0,12,5
"Afghanistan",2022-08-01,3,38,0,41,5
"Afghanistan",2022-09-01,17,113,0,130,5
"Afghanistan",2022-10-01,0,14,0,14,5
"Afghanistan",2022-11-01,0,30,0,30,5
"Afghanistan",2022-12-01,5,10,0,15,5
"Afghanistan",2023-01-01,10,3,0,13,5
"Afghanistan",2023-02-01,1,9,0,10,5
"Afghanistan",2023-03-01,6,5,0,11,5
"Afghanistan",2023-04-01,2,5,0,7,5
"Afghanistan",2023-05-01,0,6,0,6,5
"Afghanistan",2023-06-01,1,1,0,2,5
"Afghanistan",2023-07-01,0,5,0,5,7
"Afghanistan",2023-08-01,1,1,0,2,5
"Afghanistan",2023-09-01,4,3,0,7,5
"Afghanistan",2023-10-01,0,30,0,30,5
"Afghanistan",2023-11-01,0,9,0,9,5
"Afghanistan",2023-12-01,0,8,0,8,5
"Afghanistan",2024-01-01,3,13,0,16,7
"Afghanistan",2024-02-01,0,0,0,0,5
"Afghanistan",2024-03-01,16,1,0,17,5
"Afghanistan",2024-04-01,0,8,0,8,5
"Bangladesh",2009-01-01,0,0,1,1,2
"Bangladesh",2009-02-01,0,0,0,0,2
"Bangladesh",2009-03-01,0,0,0,0,2
"Bangladesh",2009-10-01,0,0,0,0,1
"Bangladesh",2009-11-01,0,1,0,1,4
"Bangladesh",2010-02-01,0,1,0,1,6
"Bangladesh",2010-05-01,0,0,0,0,3
"Bangladesh",2010-10-01,0,0,0,0,2
"Bangladesh",2010-11-01,0,0,0,0,2
"Bangladesh",2012-12-01,0,0,0,0,2
"Bangladesh",2013-01-01,0,0,0,0,2
"Bangladesh",2013-02-01,0,1,0,1,6
"Bangladesh",2013-03-01,0,7,1,8,6
"Bangladesh",2013-04-01,0,0,0,0,2
"Bangladesh",2013-07-01,0,0,0,0,2
"Bangladesh",2013-10-01,0,0,0,0,2
"Bangladesh",2013-11-01,0,0,0,0,2
"Bangladesh",2013-12-01,0,2,0,2,6
"Bangladesh",2014-01-01,0,0,0,0,2
"Bangladesh",2015-01-01,0,0,0,0,2
"Bangladesh",2015-09-01,0,3,0,3,4
"Bangladesh",2015-10-01,0,2,0,2,4
"Bangladesh",2015-11-01,0,2,0,2,5
"Bangladesh",2016-01-01,0,1,0,1,4
"Bangladesh",2016-02-01,0,1,0,1,4
"Bangladesh",2016-03-01,0,2,0,2,4
"Bangladesh",2016-04-01,0,2,0,2,4
"Bangladesh",2016-05-01,0,2,0,2,4
"Bangladesh",2016-06-01,0,3,0,3,4
"Bangladesh",2016-07-01,0,21,0,21,5
"Bangladesh",2016-08-01,0,0,0,0,1
"Bangladesh",2016-09-01,0,0,0,0,1
"Bangladesh",2016-10-01,0,0,0,0,1
"Bangladesh",2016-12-01,0,0,0,0,1
"Bangladesh",2017-01-01,0,0,0,0,1
"Bangladesh",2017-02-01,0,0,0,0,1
"Bangladesh",2017-03-01,5,0,0,5,1
"Bangladesh",2017-04-01,0,0,0,0,1
"Bangladesh",2017-05-01,0,0,0,0,1
"Bangladesh",2017-06-01,0,0,0,0,1
"Bangladesh",2017-08-01,0,1,0,1,5
"Bangladesh",2017-09-01,2,0,0,2,1
"Bangladesh",2017-12-01,0,0,0,0,1
"Bangladesh",2018-06-01,0,2,0,2,4
"Bangladesh",2018-07-01,0,1,0,1,4
"Bangladesh",2018-10-01,0,0,0,0,1
"Bangladesh",2018-12-01,0,0,0,0,2
"Bangladesh",2019-02-01,0,0,0,0,4
"Bangladesh",2019-04-01,0,0,0,0,1
"Bangladesh",2019-11-01,0,0,0,0,1
"Bangladesh",2020-03-01,1,0,0,1,1
"Bangladesh",2020-04-01,0,1,0,1,4
"Bangladesh",2020-07-01,0,1,0,1,4
"Bangladesh",2020-10-01,1,0,0,1,1
"Bangladesh",2020-12-01,0,0,0,0,1
"Bangladesh",2021-01-01,0,0,0,0,2
"Bangladesh",2021-08-01,0,0,0,0,2
"Bangladesh",2021-09-01,0,1,0,1,4
"Bangladesh",2022-02-01,0,0,0,0,1
"Bangladesh",2022-08-01,0,2,0,2,4
"Bangladesh",2022-09-01,1,2,0,3,5
"Bangladesh",2022-10-01,1,2,0,3,5
"Bangladesh",2022-12-01,0,1,0,1,4
"Bangladesh",2023-01-01,0,1,1,2,7
"Bangladesh",2023-02-01,0,0,0,0,2
"Bangladesh",2023-03-01,1,0,0,1,1
"Bangladesh",2023-04-01,0,1,0,1,6
"Bangladesh",2023-05-01,2,0,0,2,1
"Bangladesh",2023-06-01,0,1,0,1,7
"Bangladesh",2023-07-01,0,3,0,3,6
"Bangladesh",2023-08-01,0,2,0,2,6
"Bangladesh",2023-09-01,0,0,2,2,2
"Bangladesh",2023-10-01,0,0,0,0,3
"Bangladesh",2023-12-01,0,4,1,5,6
"Bangladesh",2024-01-01,0,3,1,4,6
"Bangladesh",2024-02-01,2,1,0,3,7
"Bangladesh",2024-03-01,0,2,0,2,6
"Bangladesh",2024-04-01,0,2,0,2,5
