Model,MSE,RMSE,MAE,MDAE
Ensemble,542.68,23.3,14.71,7.0
XGBoost,327.68,18.1,9.74,3.5
LSTM,5269.21,72.59,30.62,7.0
NN,2397.93,48.97,20.96,7.0
