Model,MSE,RMSE,MAE,MDAE
Ensemble,17793.72,133.39,83.17,31.0
XGBoost,16109.0,126.92,69.56,20.0
LSTM,24768.39,157.38,95.83,47.0
NN,52680.89,229.52,104.0,37.0
