country,sex,age_group,year_month,True Values,Ensemble Prediction,XGBoost Lower CI,XGBoost Upper CI,LSTM Lower CI,LSTM Upper CI,NN Lower CI,NN Upper CI,Ensemble Lower CI,Ensemble Upper CI,Residuals,XGBoost Prediction,LSTM Prediction,NN Prediction
Democratic Republic of the Congo,female,adult,2024-01-01,5.0,11.0,6.0,14.0,5.0,13.0,-1.0,24.0,-1.0,24.0,-6.0,10.0,9.0,11.0
Democratic Republic of the Congo,female,minor,2024-01-01,0.0,9.0,3.0,11.0,5.0,10.0,-2.0,21.0,-2.0,21.0,-9.0,7.0,8.0,9.0
Democratic Republic of the Congo,male,adult,2024-01-01,10.0,12.0,9.0,16.0,5.0,14.0,-1.0,25.0,-1.0,25.0,-2.0,13.0,9.0,12.0
Democratic Republic of the Congo,male,minor,2024-01-01,10.0,7.0,6.0,10.0,5.0,9.0,-5.0,20.0,-5.0,20.0,3.0,8.0,7.0,7.0
Egypt,female,adult,2024-01-01,0.0,-1.0,-0.0,1.0,4.0,6.0,-11.0,9.0,-11.0,9.0,1.0,0.0,5.0,-1.0
Egypt,female,minor,2024-01-01,0.0,-1.0,-0.0,1.0,4.0,7.0,-11.0,10.0,-11.0,10.0,1.0,1.0,5.0,-1.0
Egypt,male,adult,2024-01-01,270.0,333.0,242.0,306.0,277.0,389.0,196.0,276.0,277.0,389.0,-63.0,274.0,333.0,236.0
Egypt,male,minor,2024-01-01,290.0,215.0,99.0,331.0,173.0,250.0,107.0,196.0,99.0,331.0,75.0,215.0,211.0,152.0
Eritrea,female,adult,2024-01-01,70.0,55.0,30.0,80.0,10.0,45.0,16.0,41.0,30.0,80.0,15.0,55.0,27.0,28.0
Eritrea,female,minor,2024-01-01,20.0,5.0,7.0,15.0,4.0,8.0,-2.0,12.0,-2.0,12.0,15.0,11.0,6.0,5.0
Eritrea,male,adult,2024-01-01,165.0,126.0,38.0,215.0,51.0,98.0,33.0,61.0,38.0,215.0,39.0,126.0,75.0,47.0
Eritrea,male,minor,2024-01-01,15.0,5.0,7.0,12.0,4.0,8.0,-3.0,12.0,-3.0,12.0,10.0,10.0,6.0,5.0
Georgia,female,adult,2024-01-01,30.0,18.0,32.0,49.0,8.0,29.0,12.0,28.0,8.0,29.0,12.0,41.0,18.0,20.0
Georgia,female,minor,2024-01-01,10.0,6.0,13.0,20.0,5.0,9.0,-0.0,13.0,-0.0,13.0,4.0,16.0,7.0,6.0
Georgia,male,adult,2024-01-01,25.0,14.0,23.0,32.0,6.0,16.0,7.0,22.0,7.0,22.0,11.0,27.0,11.0,14.0
Georgia,male,minor,2024-01-01,10.0,2.0,9.0,11.0,4.0,8.0,-5.0,10.0,-5.0,10.0,8.0,10.0,6.0,2.0
India,female,adult,2024-01-01,0.0,2.0,-0.0,1.0,3.0,6.0,-10.0,13.0,-10.0,13.0,-2.0,0.0,5.0,2.0
India,female,minor,2024-01-01,0.0,2.0,-0.0,0.0,3.0,6.0,-10.0,13.0,-10.0,13.0,-2.0,0.0,5.0,2.0
India,male,adult,2024-01-01,0.0,8.0,-1.0,10.0,4.0,11.0,-8.0,24.0,-8.0,24.0,-8.0,5.0,7.0,8.0
India,male,minor,2024-01-01,0.0,2.0,-0.0,1.0,3.0,6.0,-10.0,13.0,-10.0,13.0,-2.0,0.0,5.0,2.0
Iran,female,adult,2024-01-01,10.0,6.0,8.0,10.0,4.0,7.0,-8.0,19.0,-8.0,19.0,4.0,9.0,6.0,6.0
Iran,female,minor,2024-01-01,10.0,3.0,2.0,6.0,4.0,7.0,-11.0,16.0,-11.0,16.0,7.0,4.0,5.0,3.0
Iran,male,adult,2024-01-01,30.0,23.0,25.0,35.0,3.0,26.0,11.0,35.0,11.0,35.0,7.0,30.0,15.0,23.0
Iran,male,minor,2024-01-01,10.0,6.0,7.0,11.0,4.0,8.0,-7.0,19.0,-7.0,19.0,4.0,9.0,6.0,6.0
Iraq,female,adult,2024-01-01,30.0,53.0,23.0,62.0,31.0,74.0,22.0,56.0,31.0,74.0,-23.0,42.0,53.0,39.0
Iraq,female,minor,2024-01-01,30.0,50.0,2.0,98.0,37.0,80.0,21.0,60.0,2.0,98.0,-20.0,50.0,58.0,40.0
Iraq,male,adult,2024-01-01,85.0,102.0,62.0,113.0,58.0,147.0,32.0,110.0,58.0,147.0,-17.0,87.0,102.0,71.0
Iraq,male,minor,2024-01-01,55.0,57.0,32.0,96.0,55.0,121.0,21.0,92.0,21.0,92.0,-2.0,64.0,88.0,57.0
Pakistan,female,adult,2024-01-01,0.0,-1.0,-1.0,1.0,4.0,7.0,-9.0,7.0,-9.0,7.0,1.0,-0.0,5.0,-1.0
Pakistan,female,minor,2024-01-01,0.0,-1.0,-1.0,1.0,4.0,7.0,-9.0,7.0,-9.0,7.0,1.0,-0.0,5.0,-1.0
Pakistan,male,adult,2024-01-01,55.0,80.0,46.0,114.0,69.0,121.0,46.0,91.0,46.0,114.0,-25.0,80.0,95.0,68.0
Pakistan,male,minor,2024-01-01,10.0,19.0,14.0,27.0,4.0,33.0,9.0,32.0,4.0,33.0,-9.0,21.0,19.0,21.0
Palestine,female,adult,2024-01-01,55.0,33.0,48.0,76.0,2.0,65.0,24.0,63.0,2.0,65.0,22.0,62.0,33.0,43.0
Palestine,female,minor,2024-01-01,40.0,18.0,36.0,62.0,-2.0,37.0,14.0,51.0,-2.0,37.0,22.0,49.0,18.0,33.0
Palestine,male,adult,2024-01-01,475.0,584.0,205.0,963.0,386.0,677.0,410.0,773.0,205.0,963.0,-109.0,584.0,531.0,591.0
Palestine,male,minor,2024-01-01,90.0,114.0,78.0,150.0,74.0,154.0,71.0,117.0,74.0,154.0,-24.0,114.0,114.0,94.0
Sierra Leone,female,adult,2024-01-01,40.0,50.0,38.0,69.0,33.0,67.0,21.0,47.0,33.0,67.0,-10.0,53.0,50.0,34.0
Sierra Leone,female,minor,2024-01-01,0.0,3.0,5.0,7.0,5.0,8.0,-4.0,9.0,-4.0,9.0,-3.0,6.0,6.0,3.0
Sierra Leone,male,adult,2024-01-01,65.0,82.0,55.0,79.0,57.0,107.0,32.0,67.0,57.0,107.0,-17.0,67.0,82.0,50.0
Sierra Leone,male,minor,2024-01-01,20.0,14.0,21.0,27.0,7.0,14.0,5.0,22.0,5.0,22.0,6.0,24.0,10.0,14.0
Somalia,female,adult,2024-01-01,15.0,21.0,12.0,26.0,8.0,35.0,14.0,37.0,8.0,35.0,-6.0,19.0,21.0,26.0
Somalia,female,minor,2024-01-01,30.0,30.0,21.0,50.0,15.0,46.0,18.0,41.0,15.0,46.0,0.0,35.0,30.0,30.0
Somalia,male,adult,2024-01-01,25.0,24.0,12.0,38.0,10.0,39.0,16.0,37.0,10.0,39.0,1.0,25.0,24.0,26.0
Somalia,male,minor,2024-01-01,40.0,53.0,30.0,62.0,32.0,74.0,28.0,57.0,32.0,74.0,-13.0,46.0,53.0,43.0
Syria,female,adult,2024-01-01,190.0,243.0,103.0,383.0,177.0,403.0,160.0,296.0,103.0,383.0,-53.0,243.0,290.0,228.0
Syria,female,minor,2024-01-01,250.0,306.0,203.0,300.0,189.0,423.0,172.0,361.0,189.0,423.0,-56.0,252.0,306.0,267.0
Syria,male,adult,2024-01-01,790.0,842.0,263.0,1421.0,381.0,1031.0,1187.0,2139.0,263.0,1421.0,-52.0,842.0,706.0,1663.0
Syria,male,minor,2024-01-01,360.0,459.0,231.0,687.0,269.0,631.0,292.0,570.0,231.0,687.0,-99.0,459.0,450.0,431.0
Türkiye,female,adult,2024-01-01,50.0,76.0,46.0,77.0,60.0,93.0,42.0,69.0,60.0,93.0,-26.0,61.0,76.0,56.0
Türkiye,female,minor,2024-01-01,20.0,42.0,22.0,62.0,25.0,56.0,25.0,46.0,22.0,62.0,-22.0,42.0,40.0,35.0
Türkiye,male,adult,2024-01-01,225.0,364.0,213.0,248.0,297.0,431.0,206.0,274.0,297.0,431.0,-139.0,231.0,364.0,240.0
Türkiye,male,minor,2024-01-01,45.0,60.0,43.0,76.0,48.0,81.0,36.0,61.0,43.0,76.0,-15.0,60.0,65.0,49.0
Yemen,female,adult,2024-01-01,10.0,7.0,5.0,10.0,5.0,8.0,-0.0,14.0,-0.0,14.0,3.0,8.0,6.0,7.0
Yemen,female,minor,2024-01-01,5.0,4.0,1.0,5.0,4.0,7.0,-3.0,11.0,-3.0,11.0,1.0,3.0,6.0,4.0
Yemen,male,adult,2024-01-01,160.0,121.0,68.0,175.0,50.0,108.0,50.0,78.0,68.0,175.0,39.0,121.0,79.0,64.0
Yemen,male,minor,2024-01-01,10.0,6.0,4.0,8.0,5.0,8.0,-1.0,13.0,-1.0,13.0,4.0,6.0,6.0,6.0
