country,sex,age_group,year_month,True Values,Ensemble Prediction,XGBoost Lower CI,XGBoost Upper CI,LSTM Lower CI,LSTM Upper CI,NN Lower CI,NN Upper CI,Ensemble Lower CI,Ensemble Upper CI,Residuals,XGBoost Prediction,LSTM Prediction,NN Prediction
Afghanistan,female,adult,2024-01-01,420.0,434.0,319.0,447.0,335.0,533.0,220.0,335.0,335.0,533.0,-14.0,383.0,434.0,278.0
Afghanistan,female,minor,2024-01-01,750.0,706.0,515.0,897.0,697.0,942.0,506.0,708.0,515.0,897.0,44.0,706.0,819.0,607.0
Afghanistan,male,adult,2024-01-01,600.0,591.0,455.0,657.0,467.0,714.0,316.0,474.0,467.0,714.0,9.0,556.0,591.0,395.0
Afghanistan,male,minor,2024-01-01,1000.0,934.0,657.0,1211.0,808.0,1031.0,676.0,920.0,657.0,1211.0,66.0,934.0,919.0,798.0
Albania,female,adult,2024-01-01,15.0,8.0,12.0,14.0,5.0,8.0,-0.0,16.0,-0.0,16.0,7.0,13.0,6.0,8.0
Albania,female,minor,2024-01-01,20.0,10.0,15.0,18.0,5.0,9.0,2.0,17.0,2.0,17.0,10.0,17.0,7.0,10.0
Albania,male,adult,2024-01-01,15.0,12.0,18.0,21.0,5.0,10.0,3.0,20.0,3.0,20.0,3.0,19.0,8.0,12.0
Albania,male,minor,2024-01-01,10.0,5.0,6.0,8.0,5.0,8.0,-3.0,13.0,-3.0,13.0,5.0,7.0,6.0,5.0
Bangladesh,female,adult,2024-01-01,0.0,-1.0,-1.0,1.0,4.0,7.0,-6.0,4.0,-6.0,4.0,1.0,0.0,5.0,-1.0
Bangladesh,female,minor,2024-01-01,0.0,-1.0,-1.0,1.0,4.0,7.0,-6.0,4.0,-6.0,4.0,1.0,0.0,5.0,-1.0
Bangladesh,male,adult,2024-01-01,15.0,22.0,13.0,31.0,6.0,17.0,10.0,26.0,13.0,31.0,-7.0,22.0,12.0,18.0
Bangladesh,male,minor,2024-01-01,0.0,4.0,2.0,6.0,5.0,8.0,-3.0,12.0,-3.0,12.0,-4.0,4.0,6.0,4.0
Cameroon,female,adult,2024-01-01,10.0,15.0,12.0,26.0,6.0,12.0,7.0,24.0,7.0,24.0,-5.0,19.0,9.0,15.0
Cameroon,female,minor,2024-01-01,10.0,6.0,7.0,10.0,4.0,8.0,-0.0,12.0,-0.0,12.0,4.0,9.0,6.0,6.0
Cameroon,male,adult,2024-01-01,10.0,15.0,12.0,21.0,6.0,12.0,6.0,23.0,6.0,23.0,-5.0,17.0,9.0,15.0
Cameroon,male,minor,2024-01-01,0.0,4.0,3.0,5.0,4.0,7.0,-2.0,10.0,-2.0,10.0,-4.0,4.0,6.0,4.0
